Boro,hour,avg_volume
Bronx,0,57.782982484332315
Bronx,1,39.5763107108395
Bronx,2,30.351142581268103
Bronx,3,28.49565497264242
Bronx,4,37.68570968780174
Bronx,5,66.33344061795944
Bronx,6,115.48176999678766
Bronx,7,153.67068079640333
Bronx,8,161.2927398583387
Bronx,9,152.66352429296592
Bronx,10,153.39681255561848
Bronx,11,161.34315396477558
Bronx,12,170.225991902834
Bronx,13,177.32392657879842
Bronx,14,190.15553759094584
Bronx,15,199.73139027934766
Bronx,16,203.50856911883588
Bronx,17,202.0430003233107
Bronx,18,188.26357904946653
Bronx,19,166.36564516129033
Bronx,20,142.73172891178365
Bronx,21,122.52320437545242
Bronx,22,104.14948536506915
Bronx,23,82.79640333975594
Brooklyn,0,53.227957475684235
Brooklyn,1,36.093612783486485
Brooklyn,2,26.61357359532757
Brooklyn,3,23.061124694376527
Brooklyn,4,29.525579500181095
Brooklyn,5,50.52482558666304
Brooklyn,6,84.26618933248743
Brooklyn,7,112.66236413043478
Brooklyn,8,122.33890474249219
Brooklyn,9,116.92280970856267
Brooklyn,10,114.74652276011561
Brooklyn,11,118.2356049315811
Brooklyn,12,122.8893403765407
Brooklyn,13,127.99069178979711
Brooklyn,14,136.30154639175257
Brooklyn,15,143.0359146010494
Brooklyn,16,144.7585754366911
Brooklyn,17,144.88789745447957
Brooklyn,18,136.64521683962477
Brooklyn,19,123.24685869811749
Brooklyn,20,108.53733574988672
Brooklyn,21,94.71907671418873
Brooklyn,22,84.13916311928267
Brooklyn,23,71.16041666666666
Manhattan,0,101.36103423160961
Manhattan,1,72.06935448657303
Manhattan,2,54.79326153398341
Manhattan,3,46.743145953021596
Manhattan,4,52.75503526503309
Manhattan,5,78.16446220930233
Manhattan,6,131.63790726362382
Manhattan,7,171.63362255965293
Manhattan,8,183.1619576185671
Manhattan,9,178.51701466657033
Manhattan,10,174.76130853296664
Manhattan,11,177.6814197754437
Manhattan,12,181.1279971024991
Manhattan,13,185.40014477017735
Manhattan,14,196.51629490150637
Manhattan,15,206.1251813170873
Manhattan,16,205.5555716667875
Manhattan,17,205.54957958828646
Manhattan,18,203.78826512133284
Manhattan,19,193.2585009405296
Manhattan,20,175.86404112068342
Manhattan,21,162.02065516741555
Manhattan,22,150.8529902138456
Manhattan,23,131.08384013900957
Queens,0,46.74196044711952
Queens,1,30.499419729206963
Queens,2,22.034312250075246
Queens,3,20.39196109652709
Queens,4,29.05225101144874
Queens,5,54.77399793566145
Queens,6,97.78868216388089
Queens,7,128.94318035737243
Queens,8,135.34310536677222
Queens,9,126.14161042087615
Queens,10,122.48194635488308
Queens,11,127.00709769002452
Queens,12,133.9549952671887
Queens,13,140.44026643747313
Queens,14,150.88563944000688
Queens,15,158.7724735983515
Queens,16,160.59592274678113
Queens,17,160.05442293660673
Queens,18,149.6224511697789
Queens,19,132.1168669527897
Queens,20,112.42518028846153
Queens,21,95.98905344494527
Queens,22,82.78816613747533
Queens,23,66.2243171276413
Staten Island,0,27.051573078454798
Staten Island,1,17.553187250996015
Staten Island,2,12.345342356687897
Staten Island,3,11.084145613686095
Staten Island,4,14.965393794749403
Staten Island,5,31.30743243243243
Staten Island,6,68.55858364829919
Staten Island,7,105.20701963117192
Staten Island,8,115.33465346534653
Staten Island,9,110.85414605185039
Staten Island,10,116.50009891196835
Staten Island,11,125.7
Staten Island,12,133.36240271402914
Staten Island,13,137.9503900780156
Staten Island,14,147.32063808574276
Staten Island,15,152.73937337856717
Staten Island,16,149.49910161708925
Staten Island,17,146.39090728608298
Staten Island,18,133.63374975213168
Staten Island,19,113.91195219123506
Staten Island,20,89.85785785785785
Staten Island,21,69.09403254972875
Staten Island,22,54.221932638332
Staten Island,23,40.993978321959055
