Boro,month,avg_volume
Bronx,1,52.77172879421833
Bronx,2,66.88780976438308
Bronx,3,80.04793942841451
Bronx,4,128.86494748564317
Bronx,5,287.23303528884156
Bronx,6,208.28895011953483
Bronx,7,22.90024183796856
Bronx,8,39.16949690525313
Bronx,9,100.3402785998974
Bronx,10,131.45463736263736
Bronx,11,182.760832131056
Bronx,12,45.924502936390006
Brooklyn,1,52.3610905400587
Brooklyn,2,75.1022518019677
Brooklyn,3,72.10547276142768
Brooklyn,4,150.96880498359408
Brooklyn,5,132.21207068449823
Brooklyn,6,135.88767987523923
Brooklyn,7,58.02805304575925
Brooklyn,8,92.97314242721325
Brooklyn,9,71.45641963846867
Brooklyn,10,118.02238233632033
Brooklyn,11,73.44678451361024
Brooklyn,12,89.28490741402732
Manhattan,1,89.09331386464736
Manhattan,2,82.08392218804556
Manhattan,3,121.08137426000069
Manhattan,4,133.0198714202221
Manhattan,5,119.31334539502025
Manhattan,6,105.7967553166183
Manhattan,7,108.63743544078362
Manhattan,8,142.20081753348407
Manhattan,9,171.70095350603324
Manhattan,10,228.747622058307
Manhattan,11,181.03675229214826
Manhattan,12,130.7183300198807
Queens,1,69.92899041318897
Queens,2,75.66804070219942
Queens,3,94.71161892500804
Queens,4,134.51670139211444
Queens,5,146.46962469397542
Queens,6,131.38480150551123
Queens,7,66.68509777478084
Queens,8,54.46722053329002
Queens,9,82.34900218993862
Queens,10,106.2880774335567
Queens,11,92.565827186017
Queens,12,48.37901069518717
Staten Island,1,98.27429042515605
Staten Island,2,94.19252225519288
Staten Island,3,165.5815244325503
Staten Island,4,79.48930144745123
Staten Island,5,157.12671917244623
Staten Island,6,88.8619274339189
Staten Island,7,33.220138101618055
Staten Island,8,60.07727762480546
Staten Island,9,99.7619761726235
Staten Island,10,95.72832802845909
Staten Island,11,41.88458571208147
Staten Island,12,44.84945607673412
