corridor,total_volume
HAMILTON AVENUE BRIDGE | Gowanus Canal Shoreline | Gowanus Canal Shoreline | WB,1433855.0
FRESH KILLS BRIDGE | Richmond Avenue | Dead end | NB,1412116.0
MAJOR DEEGAN EXPRESSWAY | Connector | Dead end | SB,1396985.0
W/B MILL BASIN BRIDGE @ BELT PKWY | BELT PKWY | BELT PKWY | WB,1365318.0
ALEXANDER HAMILTON BRIDGE | Dead End | Harlem River Shoreline | WB,1351330.0
BELT PARKWAY | Dead End | Dead end | EB,1322275.0
SUNRISE HIGHWAY | Dead End | Hook Creek Boulevard | WB,1194178.0
NEW ENGLAND THRWY | CONNECTOR | DEAD END | NB,1178074.0
HAMILTON AVENUE BRIDGE | Gowanus Creek Shoreline | Dead end | EB,1153802.0
BELT PARKWAY EXIT 25 A NB | Dead End | Dead end | NB,1122653.0
BROOKLYN BRIDGE | BOROUGH BOUNDARY | BODY OF WATER | WB,1103031.0
WILLIS AVENUE BRIDGE | Harlem River Drive Exit 18 Nb | Harlem River Shoreline | NB,1096530.0
HOOK CREEK BRIDGE | Hook Creek Shoreline | Dead end | SB,1074585.0
FDR DRIVE @ EAST 63 ST ENTRANCE | BEND | E 63 STREET PEDESTRIAN OPAS | SB,1022478.0
E/B KOSCIUSZKO BRIDGE @ TO L.I.E. | 54 RD | BQE EB EXIT 35 E-W | EB,1016239.0
