hour,member_casual,trip_count
0,casual,166360
0,member,453811
1,casual,107067
1,member,265485
2,casual,70102
2,member,168442
3,casual,46122
3,member,112973
4,casual,36902
4,member,106752
5,casual,45664
5,member,264545
6,casual,98137
6,member,754446
7,casual,191259
7,member,1580558
8,casual,290207
8,member,2436083
9,casual,314555
9,member,1969600
10,casual,362996
10,member,1597150
11,casual,445987
11,member,1673593
12,casual,520892
12,member,1866446
13,casual,566188
13,member,1957613
14,casual,624414
14,member,2116116
15,casual,670042
15,member,2320644
16,casual,680855
16,member,2615479
17,casual,738725
17,member,3328354
18,casual,697644
18,member,3096357
19,casual,556512
19,member,2323423
20,casual,411945
20,member,1676579
21,casual,322435
21,member,1250613
22,casual,287099
22,member,1002771
23,casual,235059
23,member,724166
