route_id,start_station_name,end_station_name,trip_count,distance_m,coords
route_1,River Ter & Warren St,Vesey Pl & River Terrace,7367,266.6,"[[-74.0157766, 40.71767549999999], [-74.0158351, 40.717621199999996], [-74.0158483, 40.7176072], [-74.0159298, 40.7175205], [-74.0160024, 40.7174389], [-74.01607, 40.7173573], [-74.0161454, 40.7172492], [-74.0162107, 40.7171412], [-74.0162226, 40.7171209], [-74.01626, 40.717049799999984], [-74.0162933, 40.71698489999999], [-74.0163109, 40.716947999999995], [-74.0163417, 40.71687299999999], [-74.0163774, 40.71676839999999], [-74.016405, 40.71666239999998], [-74.016422, 40.71656290000001], [-74.0164328, 40.71646179999999], [-74.0164401, 40.716370299999994], [-74.0164449, 40.7162867], [-74.0164472, 40.7161678], [-74.0164505, 40.716098300000006], [-74.01645690000001, 40.71603449999999], [-74.0164762, 40.715940200000006], [-74.0165014, 40.7158521], [-74.016529, 40.71578079999999], [-74.0165683, 40.71569689999999], [-74.0166292, 40.7155813], [-74.0166469, 40.7155474], [-74.0166737, 40.7154921], [-74.0166772, 40.715474699999994], [-74.0166724, 40.7154568], [-74.0166604, 40.7154421], [-74.0166445, 40.7154302]]"
route_2,W 21 St & 6 Ave,9 Ave & W 22 St,6088,826.6,"[[-73.9937317, 40.7416288], [-73.9938722, 40.74168689999998], [-73.9964045, 40.74275480000001], [-73.9964512, 40.7427748], [-73.9965699, 40.7428254], [-73.9966998, 40.742880400000004], [-73.9992087, 40.743939299999994], [-73.9992389, 40.743951999999986], [-73.9992818, 40.7439701], [-73.9994132, 40.7440255], [-73.9995538, 40.74408270000001], [-74.0020736, 40.745140799999994], [-74.002126, 40.74516319999999], [-74.0022968, 40.745235]]"
route_3,Roosevelt Island Tramway,Motorgate,5704,952.9,"[[-73.9537902, 40.7575114], [-73.9537501, 40.7575163], [-73.953714, 40.75753039999999], [-73.9536855, 40.75755219999999], [-73.9536672, 40.75757970000001], [-73.953661, 40.757610100000015], [-73.9536676, 40.75764039999999], [-73.9536908, 40.75767429999999], [-73.9535818, 40.75773319999999], [-73.9535426, 40.7577618], [-73.9535113, 40.757784699999995], [-73.9534336, 40.7578383], [-73.9530579, 40.758106000000005], [-73.9529246, 40.7582036], [-73.9528732, 40.758245499999994], [-73.9528175, 40.7582945], [-73.9527815, 40.75832890000001], [-73.952763, 40.7583466], [-73.9526221, 40.7584944], [-73.9526019, 40.758515599999996], [-73.952581, 40.7585363], [-73.9525214, 40.758598899999996], [-73.9525117, 40.75860910000001], [-73.9522263, 40.7589081], [-73.9522005, 40.7589345], [-73.9521742, 40.7589628], [-73.9519572, 40.7591917], [-73.9518916, 40.759152099999994], [-73.9518366, 40.7591211], [-73.9517791, 40.759122899999994], [-73.9517452, 40.75915010000001], [-73.9515238, 40.75938319999999], [-73.9514972, 40.75941599999999], [-73.95152, 40.759447300000005], [-73.95157540000001, 40.75948149999999], [-73.9516374, 40.7595186], [-73.9514545, 40.75970529999999], [-73.9514374, 40.75972399999999], [-73.9514228, 40.7597477], [-73.9514111, 40.759772899999994], [-73.9514083, 40.75978670000001], [-73.9514039, 40.7598113], [-73.9513999, 40.7598398], [-73.95140060000001, 40.75987479999999], [-73.9514046, 40.7599046], [-73.9514133, 40.759936399999994], [-73.9514277, 40.75997100000001], [-73.951473, 40.760074799999984], [-73.95148580000001, 40.76011379999999], [-73.9514984, 40.760159], [-73.9515043, 40.76019929999998], [-73.9515065, 40.76024309999998], [-73.9514988, 40.7603003], [-73.951488, 40.760351099999994], [-73.9514799, 40.76038429999999], [-73.95146, 40.7604557], [-73.9514426, 40.76048900000001], [-73.9512608, 40.760626], [-73.9511242, 40.760725699999995], [-73.9508241, 40.760934199999994], [-73.9507047, 40.7610186], [-73.9506916, 40.7610278], [-73.9505039, 40.7611627], [-73.9504771, 40.761182700000006], [-73.950454, 40.76119959999999], [-73.9499971, 40.761518800000005], [-73.949965, 40.76154330000001], [-73.9499354, 40.761570199999994], [-73.949914, 40.761590000000005], [-73.9498848, 40.76162109999999], [-73.9498603, 40.7616508], [-73.9498417, 40.761678399999994], [-73.9498255, 40.761705699999986], [-73.949768, 40.761810499999996], [-73.9494877, 40.7623563], [-73.9494731, 40.762384299999994], [-73.9494625, 40.7624046], [-73.9492851, 40.762729300000004], [-73.9492715, 40.762754199999996], [-73.9492535, 40.76278380000001], [-73.949248, 40.762792199999986], [-73.9492222, 40.76283349999999], [-73.9491994, 40.762866], [-73.94916550000002, 40.76290730000001], [-73.9491345, 40.762937699999995], [-73.949099, 40.7629715], [-73.9490561, 40.763005], [-73.9490063, 40.763042199999994], [-73.94856510000001, 40.7633576], [-73.9485345, 40.7633794], [-73.9485105, 40.763396600000014], [-73.9484168, 40.7634635], [-73.9481397, 40.763662300000014], [-73.9480993, 40.76369309999998], [-73.9480769, 40.76371150000001], [-73.9480502, 40.76373529999999], [-73.9479025, 40.7638967], [-73.9477523, 40.764064999999995]]"
route_4,Norfolk St & Broome St,Henry St & Grand St,5630,966.1,"[[-73.9878823, 40.71741], [-73.987854, 40.7174709], [-73.9875347, 40.71810169999999], [-73.9875092, 40.718149800000006], [-73.9874583, 40.71824589999999], [-73.9874264, 40.7182357], [-73.9873909, 40.7182233], [-73.9873444, 40.7182038], [-73.9872677, 40.71817080000001], [-73.9870177, 40.7180639], [-73.9869121, 40.718022500000004], [-73.9868134, 40.717984200000004], [-73.9867644, 40.7179658], [-73.9867154, 40.7179473], [-73.9866412, 40.7179207], [-73.986559, 40.7178912], [-73.9864131, 40.71783669999999], [-73.9859886, 40.7176751], [-73.9859207, 40.71759749999999], [-73.9858645, 40.71753330000001], [-73.985809, 40.717484599999985], [-73.9857723, 40.71745880000001], [-73.985738, 40.71743699999999], [-73.9856931, 40.71741099999999], [-73.9856593, 40.7173941], [-73.9856224, 40.717377699999986], [-73.98559, 40.7173659], [-73.984313, 40.716972999999996], [-73.9842443, 40.71695199999999], [-73.9841679, 40.71692490000001], [-73.9835532, 40.716737699999996], [-73.9834843, 40.71671669999999], [-73.9833893, 40.71668999999999], [-73.98264, 40.7164597], [-73.9825651, 40.71643709999999], [-73.9826004, 40.7163681], [-73.9828615, 40.71585859999998], [-73.983286, 40.71504980000001], [-73.9833262, 40.714971999999996], [-73.9833552, 40.71491129999999], [-73.9832838, 40.71488969999999], [-73.9831107, 40.714837299999985], [-73.9830127, 40.7148157], [-73.9828152, 40.714776300000004], [-73.9827068, 40.7147534], [-73.9826277, 40.71473700000001], [-73.9824653, 40.714707799999985], [-73.9823936, 40.7146867], [-73.9821104, 40.7146037], [-73.9820051, 40.7145728], [-73.9817122, 40.7144868], [-73.9816369, 40.714464799999995], [-73.9815776, 40.714449599999995], [-73.9815108, 40.714430500000006], [-73.981322, 40.7143755], [-73.98097390000001, 40.714276100000006], [-73.9808938, 40.714251]]"
route_5,Henry St & Grand St,Norfolk St & Broome St,5494,790.7,"[[-73.9808938, 40.714251], [-73.98097390000001, 40.714276100000006], [-73.981322, 40.7143755], [-73.9815108, 40.714430500000006], [-73.9815776, 40.714449599999995], [-73.9816369, 40.714464799999995], [-73.9817122, 40.7144868], [-73.9820051, 40.7145728], [-73.9821104, 40.7146037], [-73.9823936, 40.7146867], [-73.9824653, 40.714707799999985], [-73.9825691, 40.7147453], [-73.9826907, 40.71478700000001], [-73.9829771, 40.714870299999994], [-73.9832532, 40.7149499], [-73.9833262, 40.714971999999996], [-73.9834023, 40.71499500000001], [-73.9835273, 40.715031999999994], [-73.9838048, 40.71511439999999], [-73.9840381, 40.7151832], [-73.984098, 40.715201400000005], [-73.9842337, 40.7152425], [-73.9843884, 40.71528959999999], [-73.9845146, 40.715327], [-73.9846007, 40.7153482], [-73.9847964, 40.71539619999999], [-73.9850309, 40.7154669], [-73.9851075, 40.71548990000001], [-73.98538310000002, 40.71557429999999], [-73.9856355, 40.715650999999994], [-73.9858426, 40.7157118], [-73.9859641, 40.71574439999999], [-73.9866325, 40.715955599999994], [-73.9866936, 40.7159749], [-73.9866659, 40.716002199999984], [-73.9866326, 40.71603809999999], [-73.9866273, 40.7160454], [-73.9862231, 40.7168409], [-73.986194, 40.7168982], [-73.9862371, 40.716910399999996], [-73.9862642, 40.71691870000001], [-73.9870412, 40.71715470000001], [-73.9871051, 40.7171742], [-73.9878156, 40.71739040000001], [-73.9878823, 40.71741]]"
route_6,Motorgate,Roosevelt Island Tramway,5397,971.8,"[[-73.9477523, 40.764064999999995], [-73.9479025, 40.7638967], [-73.9480502, 40.76373529999999], [-73.9480769, 40.76371150000001], [-73.9480993, 40.76369309999998], [-73.9481397, 40.763662300000014], [-73.9484168, 40.7634635], [-73.9485105, 40.763396600000014], [-73.9485345, 40.7633794], [-73.94856510000001, 40.7633576], [-73.9490063, 40.763042199999994], [-73.9490561, 40.763005], [-73.949099, 40.7629715], [-73.9491345, 40.762937699999995], [-73.94916550000002, 40.76290730000001], [-73.9491994, 40.762866], [-73.9492222, 40.76283349999999], [-73.949248, 40.762792199999986], [-73.9492535, 40.76278380000001], [-73.9492715, 40.762754199999996], [-73.9492851, 40.762729300000004], [-73.9494625, 40.7624046], [-73.9494731, 40.762384299999994], [-73.9494877, 40.7623563], [-73.949768, 40.761810499999996], [-73.9498255, 40.761705699999986], [-73.9498417, 40.761678399999994], [-73.9498603, 40.7616508], [-73.9498848, 40.76162109999999], [-73.949914, 40.761590000000005], [-73.9499354, 40.761570199999994], [-73.949965, 40.76154330000001], [-73.9499971, 40.761518800000005], [-73.950454, 40.76119959999999], [-73.9504771, 40.761182700000006], [-73.9505039, 40.7611627], [-73.9506916, 40.7610278], [-73.9507047, 40.7610186], [-73.9508241, 40.760934199999994], [-73.9511242, 40.760725699999995], [-73.9512608, 40.760626], [-73.9514426, 40.76048900000001], [-73.95146, 40.7604557], [-73.9514799, 40.76038429999999], [-73.951488, 40.760351099999994], [-73.9514988, 40.7603003], [-73.9515065, 40.76024309999998], [-73.9515043, 40.76019929999998], [-73.9514984, 40.760159], [-73.95148580000001, 40.76011379999999], [-73.951473, 40.760074799999984], [-73.9514277, 40.75997100000001], [-73.9514133, 40.759936399999994], [-73.9514046, 40.7599046], [-73.95140060000001, 40.75987479999999], [-73.9513999, 40.7598398], [-73.9514039, 40.7598113], [-73.9514083, 40.75978670000001], [-73.9514111, 40.759772899999994], [-73.9514228, 40.7597477], [-73.9514374, 40.75972399999999], [-73.9514545, 40.75970529999999], [-73.9516374, 40.7595186], [-73.95157540000001, 40.75948149999999], [-73.95152, 40.759447300000005], [-73.9514972, 40.75941599999999], [-73.9515238, 40.75938319999999], [-73.9517452, 40.75915010000001], [-73.9517791, 40.759122899999994], [-73.9518366, 40.7591211], [-73.9518916, 40.759152099999994], [-73.9519572, 40.7591917], [-73.9521742, 40.7589628], [-73.9522005, 40.7589345], [-73.9522263, 40.7589081], [-73.9525117, 40.75860910000001], [-73.9525214, 40.758598899999996], [-73.952581, 40.7585363], [-73.9526019, 40.758515599999996], [-73.9526221, 40.7584944], [-73.952763, 40.7583466], [-73.9527815, 40.75832890000001], [-73.9528175, 40.7582945], [-73.9528732, 40.758245499999994], [-73.9529246, 40.7582036], [-73.9530579, 40.758106000000005], [-73.9534336, 40.7578383], [-73.9535113, 40.757784699999995], [-73.9535426, 40.7577618], [-73.9535818, 40.75773319999999], [-73.9536908, 40.75767429999999], [-73.953715, 40.75768939999999], [-73.9537512, 40.7577032], [-73.9537913, 40.7577079], [-73.9538314, 40.75770289999999], [-73.9538675, 40.757688900000005], [-73.9538893, 40.757672199999995], [-73.953896, 40.75766699999999], [-73.9539143, 40.7576396], [-73.9539205, 40.7576092], [-73.9539139, 40.75757889999999], [-73.9538954, 40.75755149999999], [-73.9538665, 40.7575299], [-73.9538303, 40.757516100000004], [-73.9537902, 40.7575114]]"
route_7,11 Ave & W 41 St,W 34 St & Hudson Blvd E,5308,696.2,"[[-73.9988397, 40.7601736], [-73.9988834, 40.7601147], [-73.9992457, 40.759624300000006], [-73.9992852, 40.75957489999999], [-73.9993653, 40.7594688], [-73.9996392, 40.7590806], [-73.9996605, 40.7589913], [-73.99968350000002, 40.758913899999996], [-73.9997299, 40.7588485], [-74.0000689, 40.758381199999995], [-74.0000836, 40.758361], [-74.0001285, 40.7582961], [-74.00017, 40.758240799999996], [-74.0005354, 40.757741499999995], [-74.0005846, 40.7576744], [-74.0006257, 40.757618000000015], [-74.0007462, 40.7574514], [-74.0009837, 40.75712349999999], [-74.0010329, 40.75705469999999], [-74.0010726, 40.7569984], [-74.0014335, 40.7565065], [-74.0014663, 40.756464500000014], [-74.0015307, 40.7563747], [-74.001794, 40.75601929999999], [-74.0018983, 40.75587860000001], [-74.0019763, 40.75578159999999], [-74.0018499, 40.75572799999999], [-74.0016768, 40.75565530000001], [-74.001467, 40.755566599999995], [-74.0010421, 40.755387], [-74.0005902, 40.755196], [-74.0005225, 40.755165999999996]]"
route_8,55 Ave & Center Blvd,Vernon Blvd & 50 Ave,5232,893.8,"[[-73.9609062, 40.7403672], [-73.960892, 40.74043739999999], [-73.9608748, 40.7405616], [-73.9608539, 40.7408165], [-73.9608288, 40.7409782], [-73.9608229, 40.74101610000001], [-73.9608097, 40.741069], [-73.9607862, 40.7411532], [-73.9607638, 40.74122169999999], [-73.9607323, 40.74130759999999], [-73.960692, 40.7413887], [-73.9606285, 40.741493199999994], [-73.960552, 40.7415866], [-73.9604737, 40.7416712], [-73.9604035, 40.7417421], [-73.9603243, 40.7418242], [-73.9602037, 40.74195439999999], [-73.960166, 40.742002], [-73.9601275, 40.7420538], [-73.9600277, 40.7422072], [-73.9600069, 40.74225040000001], [-73.9599931, 40.74228459999999], [-73.9599844, 40.7423163], [-73.9599771, 40.7423428], [-73.9599679, 40.7423951], [-73.959957, 40.7424684], [-73.9599512, 40.742507800000006], [-73.9599393, 40.742580600000004], [-73.9599218, 40.7426711], [-73.9598983, 40.74275969999999], [-73.9598766, 40.7428387], [-73.9598521, 40.742916400000006], [-73.9598304, 40.742976600000006], [-73.9598109, 40.7430295], [-73.959789, 40.7430837], [-73.9597524, 40.7431686], [-73.9597213, 40.74323249999999], [-73.9596731, 40.74332649999999], [-73.9596265, 40.743413600000004], [-73.9595816, 40.7434831], [-73.9595377, 40.7435471], [-73.9594922, 40.7436078], [-73.9594487, 40.7436558], [-73.9594164, 40.74368830000001], [-73.9593888, 40.74372089999999], [-73.9593576, 40.7437507], [-73.9591962, 40.74372019999999], [-73.9585535, 40.7435997], [-73.9584461, 40.7435796], [-73.958369, 40.7435655], [-73.9565795, 40.7432226], [-73.9565229, 40.7432123], [-73.9564373, 40.7431966], [-73.9563578, 40.74318099999999], [-73.9542852, 40.74277229999999], [-73.9542147, 40.74275839999999], [-73.9540991, 40.742736699999995], [-73.9541409, 40.742675600000005], [-73.9542046, 40.74247319999999]]"
route_9,North Moore St & Greenwich St,Vesey St & Church St,5215,1115.2,"[[-74.0101194, 40.7201244], [-74.0101355, 40.720033], [-74.0101835, 40.7197591], [-74.0102257, 40.71951949999999], [-74.01023980000001, 40.719444499999994], [-74.0102503, 40.71938230000001], [-74.0103385, 40.718878700000005], [-74.0103517, 40.71880590000001], [-74.01036640000001, 40.7187309], [-74.0104493, 40.71826149999999], [-74.0104803, 40.71811460000001], [-74.0104959, 40.71804329999999], [-74.01052030000001, 40.7179299], [-74.0105258, 40.7179065], [-74.0106177, 40.71751929999999], [-74.0106308, 40.71746589999999], [-74.0106462, 40.717403600000004], [-74.010766, 40.71690679999999], [-74.0109066, 40.71636900000001], [-74.0109232, 40.716304099999995], [-74.0109468, 40.7162126], [-74.0109978, 40.71601900000001], [-74.0110871, 40.71568], [-74.0111062, 40.7156024], [-74.0111251, 40.71552930000001], [-74.0112125, 40.71519469999999], [-74.0112448, 40.715105099999995], [-74.011286, 40.715013199999994], [-74.0112961, 40.714993099999994], [-74.0113363, 40.714912999999996], [-74.0113829, 40.714826699999996], [-74.0114194, 40.714735299999994], [-74.0114455, 40.7146394], [-74.0115164, 40.714339499999994], [-74.0115197, 40.7143259], [-74.0115508, 40.7141982], [-74.0116575, 40.71379799999998], [-74.0116598, 40.71372879999999], [-74.0116563, 40.7137001], [-74.0116455, 40.7136729], [-74.0116304, 40.7136423], [-74.011617, 40.713617299999996], [-74.011608, 40.71359149999999], [-74.0116038, 40.7135696], [-74.0116054, 40.71354649999999], [-74.0116097, 40.7135278], [-74.011756, 40.712943200000005], [-74.0117506, 40.7129156], [-74.0117469, 40.71289659999999], [-74.0117308, 40.7128177], [-74.0116924, 40.7127242], [-74.0117276, 40.7126726], [-74.0117615, 40.712612099999994], [-74.0117899, 40.712549], [-74.0119562, 40.7121276], [-74.0119776, 40.71207319999999], [-74.0119192, 40.7120475], [-74.0118912, 40.71203589999999], [-74.0118616, 40.7120243], [-74.0117971, 40.712001699999995], [-74.0105534, 40.7115913], [-74.0105082, 40.711573099999995], [-74.0104955, 40.71158770000001], [-74.0104769, 40.7116159], [-74.0104326, 40.711690299999994], [-74.0102524, 40.712024500000005], [-74.0102237, 40.712076300000014], [-74.0102008, 40.7121185]]"
route_10,E 77 St & 1 Ave,E 77 St & 3 Ave,5189,446.2,"[[-73.9536338, 40.771030599999996], [-73.9537734, 40.7710905], [-73.9558798, 40.7719769], [-73.9560266, 40.77203949999999], [-73.9561304, 40.77208449999999], [-73.9581232, 40.772922599999994], [-73.9582574, 40.772979799999995]]"
